time;lat;lon;elevation;accuracy;bearing;speed
2015-08-28T16:26:50Z;50.605823;30.311566;142.000000;9.000000;276.500000;11.880000
2015-08-28T16:27:01Z;50.606173;30.309735;141.000000;9.000000;284.700012;12.490000
2015-08-28T16:27:12Z;50.606572;30.308014;138.000000;10.000000;297.100006;10.650000
2015-08-28T16:27:23Z;50.606953;30.306431;134.000000;9.000000;289.200012;10.290000
2015-08-28T16:27:34Z;50.607335;30.304862;130.000000;10.000000;288.799988;11.010000
2015-08-28T16:27:45Z;50.607690;30.303292;133.000000;9.000000;285.899994;10.480000
2015-08-28T16:27:56Z;50.607915;30.302479;131.000000;9.000000;289.299988;3.720000
2015-08-28T16:28:07Z;50.608108;30.301785;129.000000;10.000000;287.299988;5.620000
2015-08-28T16:28:18Z;50.608286;30.300814;136.000000;9.000000;291.200012;6.820000
2015-08-28T16:28:29Z;50.608562;30.299834;136.000000;9.000000;289.100006;6.830000
2015-08-28T16:28:40Z;50.608562;30.298872;135.000000;10.000000;242.699997;5.100000
2015-08-28T16:28:51Z;50.607918;30.298621;131.000000;3.000000;211.500000;5.750000
2015-08-28T16:29:02Z;50.607410;30.298174;133.000000;3.000000;210.899994;5.660000
2015-08-28T16:29:13Z;50.607383;30.297055;132.000000;3.000000;270.399994;9.090000
2015-08-28T16:29:24Z;50.607400;30.295517;131.000000;3.000000;271.600006;9.250000
2015-08-28T16:29:34Z;50.607440;30.294636;129.000000;3.000000;270.100006;0.760000
2015-08-28T16:29:45Z;50.607432;30.294634;129.000000;3.000000;0.000000;0.000000
2015-08-28T16:29:56Z;50.607432;30.294634;129.000000;3.000000;0.000000;0.000000
2015-08-28T16:30:07Z;50.607431;30.294633;129.000000;3.000000;0.000000;0.000000
2015-08-28T16:30:18Z;50.607418;30.294560;130.000000;3.000000;234.100006;1.690000
2015-08-28T16:30:29Z;50.607258;30.294548;130.000000;8.000000;186.100006;1.180000
2015-08-28T16:30:40Z;50.607356;30.294520;133.000000;15.000000;317.899994;1.630000
2015-08-28T16:30:51Z;50.607364;30.294452;130.000000;11.000000;0.000000;0.000000
2015-08-28T16:31:01Z;50.607353;30.294471;128.000000;7.000000;0.000000;0.000000
2015-08-28T16:31:12Z;50.607352;30.294472;128.000000;4.000000;0.000000;0.000000
2015-08-28T16:31:23Z;50.607351;30.294473;128.000000;3.000000;0.000000;0.000000
2015-08-28T16:31:34Z;50.607351;30.294473;128.000000;10.000000;0.000000;0.000000
2015-08-28T16:31:45Z;50.607327;30.294444;128.000000;8.000000;231.699997;2.110000
